fiindex,fi_opcode,crash,benign,SDC
3359,fmul,0.0,0.6666666666666666,0.33333333333333337
3360,extractelement,0.0,0.8666666666666667,0.1333333333333333
3361,fadd,0.0,0.5333333333333333,0.4666666666666667
3362,extractelement,0.0,0.6666666666666666,0.33333333333333337
3363,fadd,0.0,0.5,0.5
3364,fadd,0.0,0.8,0.19999999999999996
3365,fmul,0.0,0.8333333333333334,0.16666666666666663
3366,fmul,0.06666666666666667,0.7,0.2333333333333334
3367,fsub,0.0,0.7,0.30000000000000004
3368,fmul,0.0,0.8,0.19999999999999996
3369,fadd,0.0,0.5666666666666667,0.43333333333333335
3370,fmul,0.0,0.7,0.30000000000000004
3371,fmul,0.0,0.5333333333333333,0.4666666666666667
3372,fsub,0.0,0.6666666666666666,0.33333333333333337
3373,fmul,0.0,0.7,0.30000000000000004
3374,fadd,0.0,0.5,0.5
3375,fadd,0.0,0.6,0.4
3376,fmul,0.0,0.7333333333333333,0.2666666666666667
3377,fmul,0.0,0.7,0.30000000000000004
3378,fsub,0.0,0.7666666666666667,0.23333333333333328
3379,fmul,0.0,0.5333333333333333,0.4666666666666667
3380,fadd,0.0,0.5666666666666667,0.43333333333333335
3381,extractelement,0.0,0.6333333333333333,0.3666666666666667
3382,fadd,0.03333333333333333,0.5333333333333333,0.43333333333333335
3383,extractelement,0.0,0.6,0.4
3384,fadd,0.06666666666666667,0.6333333333333333,0.30000000000000004
3385,fmul,0.13333333333333333,0.6666666666666666,0.20000000000000004
3387,load,0.13333333333333333,0.43333333333333335,0.43333333333333335
3388,getelementptr,0.9666666666666667,0.0,0.033333333333333326
3389,load,0.13333333333333333,0.5666666666666667,0.30000000000000004
3390,getelementptr,0.9333333333333333,0.03333333333333333,0.033333333333333326
3391,load,0.06666666666666667,0.6,0.33333333333333337
3392,getelementptr,0.7666666666666667,0.03333333333333333,0.19999999999999996
3393,load,0.06666666666666667,0.6333333333333333,0.30000000000000004
3394,getelementptr,0.8666666666666667,0.03333333333333333,0.09999999999999998
3395,load,0.03333333333333333,0.7333333333333333,0.2333333333333334
3396,getelementptr,0.9,0.03333333333333333,0.06666666666666665
3397,load,0.2,0.5333333333333333,0.26666666666666666
3398,getelementptr,0.8666666666666667,0.03333333333333333,0.09999999999999998
3399,load,0.1,0.5666666666666667,0.33333333333333337
3400,getelementptr,0.7333333333333333,0.13333333333333333,0.13333333333333341
3401,load,0.06666666666666667,0.6333333333333333,0.30000000000000004
3402,load,0.06666666666666667,0.6,0.33333333333333337
3403,getelementptr,0.7333333333333333,0.13333333333333333,0.13333333333333341
3404,load,0.0,0.6666666666666666,0.33333333333333337
3405,getelementptr,0.9,0.0,0.09999999999999998
3406,load,0.06666666666666667,0.8333333333333334,0.09999999999999996
3407,getelementptr,0.9,0.06666666666666667,0.033333333333333326
3408,load,0.13333333333333333,0.6333333333333333,0.23333333333333336
3409,getelementptr,0.8,0.06666666666666667,0.1333333333333333
3410,load,0.0,0.7,0.30000000000000004
3411,getelementptr,0.7,0.1,0.20000000000000007
3412,load,0.06666666666666667,0.6333333333333333,0.30000000000000004
3413,getelementptr,1.0,0.0,0.0
3414,load,0.1,0.5333333333333333,0.3666666666666667
3415,getelementptr,0.8333333333333334,0.1,0.06666666666666665
3416,load,0.23333333333333334,0.5,0.26666666666666666
3417,load,0.06666666666666667,0.5333333333333333,0.4
3418,getelementptr,0.8,0.03333333333333333,0.16666666666666663
